title,price,processor,ram,ssd,display,os
HP Victus AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX...,99990.0,AMD Ryzen 7 Octa Core Processor,24 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Home Operating System
MSI Raider 18 HX AI Intel Core Ultra 9 285HX - (64 GB/4 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA G...,429990.0,Intel Core Ultra 9 Processor,64 GB DDR5 RAM,4 TB SSD,45.72 cm (18 inch) Display,64 bit Windows 11 Operating System
ASUS TUF Gaming A16 (2025) with Office 2024 + M365 Basic* AMD Ryzen 9 16 Core 8940HX - (16 GB/1 TB SSD...,189990.0,AMD Ryzen 9 16 Core Processor,16 GB DDR5 RAM,1 TB SSD,40.64 cm (16 inch) Display,Windows 11 Home Operating System
ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphic...,76490.0,AMD Ryzen 7 Hexa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Home Operating System
Lenovo LOQ 2025 AMD Ryzen 7 Octa Core 250 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,115990.0,AMD Ryzen 7 Octa Core Processor,24 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,55990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,114000.0,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,Windows 11 Operating System
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,58990.0,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,72990.0,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Operating System
Lenovo LOQ Essential Intel Core i7 12th Gen 12650HX - (12 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/...,79990.0,Intel Core i7 Processor (12th Gen),12 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Home Operating System
