,Title,Price,Processor,Ram(GBs),Storage(GBs),Display(cm),Operating System,Brand,Processor Brand
164,HP Victus AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,70990.0,AMD Ryzen 7 Octa Core Processor,16,512,39.62,1,HP,AMD
165,Acer Predator Helios Neo 16S AI Intel Core Ultra 9 - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,209990.0,Intel Core Ultra 9 Processor,32,1024,40.64,1,ACER,INTEL
166,MSI Crosshair A16 HX AMD Ryzen 9 16 Core 8940 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,223990.0,AMD Ryzen 9 16 Core Processor,16,1024,40.64,1,MSI,AMD
167,HP OMEN Intel Core i9 13th Gen 13900HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,240990.0,Intel Core i9 Processor (13th Gen),32,1024,40.64,1,HP,INTEL
168,DELL Inspiron Intel Core i5 13th Gen 13450HX - (8 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,71490.0,Intel Core i5 Processor (13th Gen),8,512,39.62,1,DELL,INTEL
169,DELL Intel Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) G...,79990.0,Intel Core i5 Processor (13th Gen),16,1024,39.62,1,DELL,INTEL
170,HP AMD Ryzen 5 - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon AMD Radeon™ RX 6500M Graphi...,61999.0,AMD Ryzen 5 Processor,8,512,39.62,1,HP,AMD
171,DELL G15-5530 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,84890.0,Intel Core i5 Processor (13th Gen),16,512,39.62,1,DELL,INTEL
172,HP OMEN AMD Ryzen AI 7 Octa Core AI 7 350 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,132990.0,AMD Ryzen AI 7 Octa Core Processor,24,1024,40.64,1,HP,AMD
173,MSI AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,75990.0,AMD Ryzen 5 Hexa Core Processor,16,512,39.62,1,MSI,AMD
174,HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon ...,65990.0,AMD Ryzen 5 Hexa Core Processor,16,512,39.62,1,HP,AMD
175,HP OMEN Intel Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,152990.0,Intel Core i7 Processor (13th Gen),16,512,40.89,1,HP,INTEL
176,"ASUS Vivobook 16X For Creator, Intel H Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Window...",77990.0,Intel Core i5 Processor (12th Gen),16,512,40.64,1,ASUS,INTEL
177,"ASUS Vivobook Pro 16 OLED For Creator, Intel H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SS...",146100.0,Intel Core i5 Processor (13th Gen),16,512,40.64,1,ASUS,INTEL
178,MSI Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,77990.0,Intel Core i7 Processor (12th Gen),16,1024,39.62,1,MSI,INTEL
179,MSI GL Series Intel Core i5 8th Gen 8300H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,63990.0,Intel Core i5 Processor (8th Gen),8,1024,39.62,1,MSI,INTEL
180,MSI AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,81990.0,AMD Ryzen 5 Hexa Core Processor,16,512,39.62,1,MSI,AMD
181,GIGABYTE AORUS MASTER 16 Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVI...,429990.0,Intel Core Ultra 9 Processor,32,1024,40.64,1,GIGABYTE,INTEL
182,"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (16 GB/512 GB SSD/Windows 11 Home/4 G...",68990.0,AMD Ryzen 5 Hexa Core Processor,16,512,39.62,1,ASUS,AMD
